S10_w,S10_x,S10_y,S10_z,S11_w,S11_x,S11_y,S11_z,S7_w,S7_x,S7_y,S7_z,thumb_pose_position_x,thumb_pose_position_y,thumb_pose_position_z
0.0701,-0.0824,0.8912,0.4403,-0.2203,-0.1755,0.6851,0.6717,-0.2475,0.1193,-0.7648,-0.5825,32.8209580222,97.6419141686,-6.075115496
0.0686,-0.0838,0.8918,0.4391,-0.2224,-0.1771,0.6842,0.6714,-0.2535,0.1223,-0.7647,-0.5795,33.798337413,97.5864863728,-5.7767735094
0.0651,-0.086,0.8919,0.4391,-0.229,-0.1885,0.6772,0.6733,-0.2534,0.105,-0.7688,-0.5775,33.698591077,97.7668268998,-5.214662782
0.0586,-0.0895,0.891,0.4411,-0.2333,-0.2003,0.6702,0.6753,-0.2503,0.0877,-0.7733,-0.5758,32.0658472714,98.0593191626,-4.3426238036
0.0507,-0.0958,0.8877,0.4473,-0.2434,-0.2276,0.6547,0.6784,-0.2361,0.0359,-0.7934,-0.5598,26.956907324,98.274436115,-0.8294705582
0.0491,-0.0988,0.886,0.4503,-0.2505,-0.2493,0.6429,0.6794,-0.2316,0.0136,-0.8044,-0.5468,27.0292724116,98.0895001248,-1.9766760232
0.0484,-0.1019,0.8829,0.4556,-0.2525,-0.2638,0.6337,0.6818,-0.226,-0.029,-0.8218,-0.522,21.1943227114,97.692549796,2.6527336876
0.0415,-0.1078,0.8823,0.4561,-0.2576,-0.2902,0.6206,0.6813,-0.207,-0.0775,-0.838,-0.4987,16.125684032,96.0531561016,5.8886354624
0.0401,-0.1094,0.8824,0.4557,-0.2589,-0.2954,0.6196,0.6794,-0.2025,-0.0814,-0.8394,-0.4976,16.5125516664,95.8892381296,4.4269174536
0.0675,-0.0803,0.8866,0.4503,-0.2253,-0.1903,0.6721,0.6791,-0.2446,0.0598,-0.8007,-0.5434,33.9943869392,97.6100674012,-3.903964968
0.0668,-0.081,0.8886,0.4463,-0.2315,-0.1879,0.6773,0.6724,-0.2592,0.0889,-0.7828,-0.5585,35.2266498288,97.445139501,-4.8841327446
0.0668,-0.081,0.8886,0.4463,-0.2315,-0.1879,0.6773,0.6724,-0.2592,0.0889,-0.7828,-0.5585,35.21846497,97.526659648,-4.0462041848
0.066,-0.0825,0.8884,0.4465,-0.2307,-0.1848,0.6763,0.6746,-0.2612,0.097,-0.7772,-0.5642,35.3049178142,97.427978134,-4.2781139136
0.0554,-0.0906,0.8894,0.4444,-0.2377,-0.2077,0.6639,0.6779,-0.2536,0.067,-0.7941,-0.5482,29.863977279,98.4158691882,-2.0736496416
0.0483,-0.0987,0.8861,0.4501,-0.2482,-0.236,0.6497,0.6785,-0.2409,0.0186,-0.8122,-0.5308,29.727451292,98.2326540576,-2.6029160952
0.0483,-0.0987,0.8861,0.4501,-0.2482,-0.236,0.6497,0.6785,-0.2409,0.0186,-0.8122,-0.5308,22.06656412,98.212637044,1.231817992
0.0326,-0.1292,0.8907,0.4344,-0.2745,-0.206,0.6986,0.6277,-0.185,0.1609,-0.7255,-0.643,27.563994318,99.9449657064,-8.4974248248
0.033,-0.1328,0.8928,0.429,-0.2743,-0.2083,0.7023,0.6229,-0.1857,0.164,-0.7276,-0.6395,27.157255046,100.433956203,-8.1766221436
0.033,-0.1328,0.8928,0.429,-0.2743,-0.2083,0.7023,0.6229,-0.1857,0.164,-0.7276,-0.6395,27.697711389,100.5599726,-7.1957153222
0.0243,-0.1403,0.895,0.4226,-0.2825,-0.2131,0.7075,0.6115,-0.1851,0.174,-0.7354,-0.6281,26.2915836208,100.903532569,-8.9063711726
0.013,-0.1522,0.9034,0.4005,-0.2888,-0.2151,0.7247,0.5873,-0.1881,0.1932,-0.7501,-0.6036,25.2348699688,101.170715286,-11.493120896
0.0106,-0.1606,0.91,0.382,-0.2876,-0.2161,0.7363,0.5729,-0.1842,0.2123,-0.7647,-0.5797,25.7146461724,101.312177833,-10.0437395356
0.0106,-0.1606,0.91,0.382,-0.2876,-0.2161,0.7363,0.5729,-0.1842,0.2123,-0.7647,-0.5797,24.038227826,101.294726755,-12.888296153
0.0046,-0.167,0.9102,0.3788,-0.2898,-0.2169,0.7423,0.5637,-0.1773,0.2196,-0.7681,-0.5747,23.5465382404,101.880458365,-11.982741718
0.0048,-0.1687,0.9118,0.3743,-0.2883,-0.2172,0.7462,0.5592,-0.1783,0.2237,-0.7719,-0.5676,24.1224568196,101.860117363,-11.702611354
0.0083,-0.1692,0.9133,0.3702,-0.2858,-0.2184,0.7474,0.5584,-0.1835,0.2266,-0.7749,-0.5607,24.265815534,101.952154162,-11.6605277196
0.0083,-0.1692,0.9133,0.3702,-0.2858,-0.2184,0.7474,0.5584,-0.1835,0.2266,-0.7749,-0.5607,23.9651108624,102.018460016,-11.9420603268
0.0067,-0.1687,0.9144,0.3677,-0.2836,-0.2168,0.7515,0.5546,-0.1843,0.2259,-0.7796,-0.5542,23.6366513112,101.959101377,-12.4415011134
0.0105,-0.1663,0.9175,0.3609,-0.2814,-0.2183,0.7539,0.552,-0.1901,0.2246,-0.7852,-0.5446,24.176447124,101.988587757,-12.906414193
0.0032,-0.1694,0.9167,0.3616,-0.2874,-0.2288,0.748,0.5526,-0.1936,0.2156,-0.7907,-0.5391,22.4618891224,102.271452801,-12.9717307392
0.0032,-0.1694,0.9167,0.3616,-0.2874,-0.2288,0.748,0.5526,-0.1936,0.2156,-0.7907,-0.5391,22.8730601432,102.018349758,-12.5189486244
-0.0006,-0.1721,0.9176,0.3583,-0.291,-0.2374,0.7436,0.553,-0.1953,0.2073,-0.7963,-0.5334,20.1821016876,102.663968735,-11.7691930642
-0.0141,-0.1786,0.9183,0.3529,-0.3019,-0.2575,0.7335,0.5516,-0.1885,0.1593,-0.819,-0.5178,15.7713377152,102.48597447,-10.3586759004
-0.0141,-0.1786,0.9183,0.3529,-0.3019,-0.2575,0.7335,0.5516,-0.1885,0.1593,-0.819,-0.5178,16.3421404342,101.541996187,-10.342584671
-0.0219,-0.1837,0.9202,0.3448,-0.3106,-0.2786,0.7239,0.5492,-0.179,0.1015,-0.8461,-0.4915,11.6156277474,101.781261999,-8.5710357998
-0.0313,-0.1884,0.9191,0.3445,-0.3179,-0.3022,0.7069,0.5548,-0.1688,0.0319,-0.8696,-0.4627,7.215446464,100.365126848,-4.556738176
