S10_w,S10_x,S10_y,S10_z,S8_w,S8_x,S8_y,S8_z,index_pose_position_x,index_pose_position_y,index_pose_position_z
-0.3834,-0.0069,0.8643,0.3252,-0.3453,0.3162,0.8021,0.3703,34.3134356852,85.7664969254,50.4852685658
-0.3844,-0.0075,0.8645,0.3236,-0.3449,0.3139,0.8059,0.3646,34.303077745,86.1659860224,50.1087737196
-0.387,-0.0083,0.864,0.3217,-0.3287,0.3233,0.7928,0.3984,34.2333047584,86.3807534284,49.7568538768
-0.387,-0.0083,0.864,0.3217,-0.3287,0.3233,0.7928,0.3984,34.6687338202,84.7711694394,49.2788016074
-0.3875,-0.0077,0.8643,0.3204,-0.3175,0.3397,0.7735,0.4304,34.804902698,83.933785744,48.981304881
-0.3851,-0.0074,0.8653,0.3206,-0.2959,0.3576,0.759,0.4564,34.4411336476,84.1675742476,48.1488741732
-0.3851,-0.0074,0.8653,0.3206,-0.2959,0.3576,0.759,0.4564,34.3502761768,83.0720574268,48.7716786576
-0.3825,-0.0064,0.8656,0.3229,-0.2847,0.3687,0.7503,0.4689,34.2129591622,82.097021901,48.8726115256
-0.3804,-0.0059,0.8662,0.3236,-0.2775,0.3756,0.745,0.4761,34.246064164,82.237196396,48.891369556
-0.3793,-0.0054,0.8664,0.3244,-0.2821,0.3761,0.7465,0.4707,34.338723659,81.444303963,49.411786663
-0.3793,-0.0054,0.8664,0.3244,-0.2821,0.3761,0.7465,0.4707,34.7566736716,82.6379205124,48.2285979708
-0.3806,-0.007,0.8675,0.32,-0.3016,0.3668,0.7574,0.4479,34.8087886526,82.448039997,48.7065417568
-0.3815,-0.0081,0.8674,0.3189,-0.317,0.3546,0.7686,0.4276,34.7977424746,83.344801831,47.4246735148
-0.3828,-0.009,0.8674,0.3175,-0.3236,0.3493,0.7761,0.4132,34.8975936884,84.8907952594,47.9167298122
-0.3838,-0.012,0.8686,0.313,-0.3343,0.3401,0.7935,0.3778,35.0743498528,84.4269095388,48.8664842416
-0.3838,-0.012,0.8686,0.313,-0.3343,0.3401,0.7935,0.3778,34.8625087904,86.1237560916,47.755301528
-0.3836,-0.0116,0.8681,0.3146,-0.3481,0.3323,0.803,0.3513,35.1290111016,85.7699944984,48.9133926692
-0.3822,-0.0104,0.8681,0.3164,-0.3549,0.3318,0.8052,0.3397,35.145941512,85.779416988,48.920922388
-0.3822,-0.0104,0.8681,0.3164,-0.3549,0.3318,0.8052,0.3397,35.6035287248,85.7030039064,49.095205268
-0.3817,-0.0094,0.8681,0.3169,-0.3474,0.3385,0.7973,0.3591,35.488373382,84.4920729716,49.0074709232
-0.3812,-0.0087,0.867,0.3205,-0.333,0.3492,0.7801,0.398,35.4319797512,84.7638276704,48.6148734544
-0.3812,-0.0087,0.867,0.3205,-0.333,0.3492,0.7801,0.398,35.4092964912,82.7994879712,49.7010831904
-0.3789,-0.0086,0.8676,0.3217,-0.3078,0.3662,0.7604,0.4391,35.1467659648,81.6498655832,49.427644429
-0.375,-0.0065,0.8676,0.3264,-0.2788,0.3826,0.7441,0.4711,35.0547835048,81.8199565134,48.89770832
-0.3718,-0.0042,0.8666,0.3326,-0.2672,0.3926,0.7354,0.4833,34.894667107,80.1600110922,50.5251686534
-0.3709,-0.0036,0.8668,0.3331,-0.267,0.3942,0.7337,0.4846,35.3944977028,79.6695526104,50.1676342276
-0.3703,-0.0032,0.8677,0.3314,-0.2679,0.3959,0.7351,0.4805,35.2803356634,79.860524493,49.8929502024
-0.3713,-0.0033,0.868,0.3295,-0.2738,0.3939,0.7385,0.4737,35.6934009426,80.7098659674,48.9400624824
-0.377,-0.0048,0.8676,0.324,-0.3025,0.3762,0.7579,0.4385,35.7796822816,83.4180729244,46.825346083
-0.3812,-0.0087,0.869,0.315,-0.3259,0.3578,0.7753,0.4057,35.8674270492,83.0695396302,48.1601636274
-0.3806,-0.0086,0.8685,0.3173,-0.3306,0.3542,0.7821,0.3916,35.5559900952,84.3464311476,46.3035181224
-0.3806,-0.0086,0.8685,0.3173,-0.3306,0.3542,0.7821,0.3916,35.7885230694,84.6876862532,48.238694142
-0.3796,-0.0095,0.87,0.3142,-0.3372,0.3524,0.7886,0.3741,35.8209380666,84.5879340882,48.0996189268
-0.3796,-0.0087,0.8701,0.3141,-0.3392,0.3512,0.7893,0.372,36.1259800554,85.6028258178,47.4334781364
-0.3795,-0.0065,0.8683,0.3191,-0.3285,0.3579,0.7786,0.3969,36.0466366852,83.82465649,48.60899737
-0.3795,-0.0065,0.8683,0.3191,-0.3285,0.3579,0.7786,0.3969,35.975568896,84.0557129028,48.0983093112
-0.3774,-0.0042,0.8681,0.3221,-0.2966,0.3758,0.7544,0.4488,35.9104961422,81.9853441136,49.850196807
