S10_w,S10_x,S10_y,S10_z,S11_w,S11_x,S11_y,S11_z,S8_w,S8_x,S8_y,S8_z,thumb_pose_position_x,thumb_pose_position_y,thumb_pose_position_z
-0.063,-0.1035,0.9346,0.3341,-0.2703,-0.1107,0.7762,0.5587,0.2871,0.5714,0.617,0.4586,33.1294475094,97.751232962,9.2543364912
-0.0646,-0.1022,0.9348,0.3338,-0.2708,-0.1097,0.7775,0.5567,0.2885,0.5705,0.6157,0.4606,32.9050636992,97.6305112214,8.781012551
-0.0653,-0.1015,0.9351,0.3331,-0.2722,-0.1085,0.7783,0.5552,0.2887,0.5709,0.6147,0.4611,33.3335253676,97.601882691,9.2827048538
-0.0659,-0.101,0.9351,0.3331,-0.2722,-0.1073,0.778,0.5557,0.2866,0.5737,0.6143,0.4594,33.0940228456,97.552866209,8.3960823078
-0.0633,-0.1018,0.9353,0.3328,-0.271,-0.1037,0.7765,0.5592,0.2862,0.5742,0.6152,0.4579,33.3142212932,97.5124988236,8.7915533196
-0.0606,-0.1024,0.9356,0.3323,-0.2722,-0.1,0.7754,0.5608,0.2852,0.5744,0.617,0.4561,33.4092921984,97.555595902,8.9076074904
-0.0604,-0.1002,0.9362,0.3311,-0.2833,-0.083,0.7794,0.5526,0.2802,0.5731,0.6278,0.4459,34.6438109288,97.6941199224,7.8903027144
-0.0601,-0.0978,0.9375,0.3284,-0.2838,-0.0694,0.7857,0.5451,0.2775,0.5741,0.6352,0.4356,39.5356108948,97.3636112718,3.4221015014
-0.0595,-0.0969,0.9382,0.3268,-0.2855,-0.0628,0.7889,0.5404,0.2788,0.5732,0.643,0.4245,38.9754134188,97.5187332016,3.3854806024
-0.0593,-0.0963,0.9385,0.3259,-0.2958,-0.0541,0.7914,0.5321,0.2846,0.5665,0.6441,0.4277,42.7340452012,96.9201831108,-0.6477037256
-0.0595,-0.0969,0.9387,0.3254,-0.3023,-0.052,0.7921,0.5275,0.2861,0.5622,0.6425,0.4348,43.5728460462,96.7247507784,-2.8845912728
-0.059,-0.0977,0.9389,0.3244,-0.3054,-0.0515,0.793,0.5245,0.2899,0.5559,0.6412,0.4422,42.919223928,96.6848236872,-3.2048429112
-0.0595,-0.0993,0.9395,0.3221,-0.314,-0.0498,0.7937,0.5185,0.2957,0.5451,0.6401,0.4534,44.0357194976,96.3231556128,-4.6596130912
-0.0601,-0.0997,0.9394,0.3222,-0.316,-0.0489,0.7937,0.5173,0.2968,0.5419,0.6393,0.4576,44.1829227968,95.909413993,-6.6723418946
-0.0595,-0.0998,0.9396,0.3217,-0.3148,-0.0485,0.7938,0.5179,0.2993,0.5394,0.6391,0.4591,44.1952594806,95.626290934,-6.612713961
-0.0603,-0.0997,0.9395,0.322,-0.3135,-0.049,0.792,0.5214,0.3033,0.536,0.6413,0.4575,44.5405540326,95.5730034686,-6.529488144
-0.0637,-0.1003,0.9383,0.3245,-0.3144,-0.0599,0.7871,0.5271,0.3003,0.5388,0.6423,0.4547,44.2164439626,95.7285003354,-5.9579790728
-0.0665,-0.1008,0.9371,0.3272,-0.3109,-0.0684,0.7862,0.5294,0.2836,0.5545,0.6445,0.4434,44.2834337964,95.695939256,-5.8635763748
-0.0715,-0.1005,0.9371,0.3262,-0.2958,-0.0775,0.7886,0.5332,0.2652,0.5739,0.6498,0.4218,40.5126999012,97.3151309928,-3.000596862
-0.0701,-0.1013,0.9378,0.3244,-0.2865,-0.0805,0.7915,0.5338,0.2684,0.5746,0.6486,0.4207,38.2323133188,98.022266941,-0.0686037305999
-0.0687,-0.1029,0.938,0.3236,-0.2814,-0.0856,0.7921,0.5346,0.2717,0.5726,0.6433,0.4293,38.899355621,98.0980553896,1.0508869486
-0.0653,-0.1071,0.9373,0.325,-0.2733,-0.0985,0.7894,0.5405,0.2824,0.5657,0.6346,0.4442,35.2506586054,98.3566526704,3.6527719034
-0.0654,-0.1078,0.9365,0.327,-0.2753,-0.1012,0.788,0.5411,0.2841,0.5629,0.6347,0.4465,32.827667448,98.2801609888,6.6229511744
-0.0648,-0.1079,0.9363,0.3276,-0.2764,-0.1025,0.7875,0.5411,0.2848,0.5616,0.634,0.4487,34.071342408,98.3611254144,6.3775989224
-0.0656,-0.1068,0.9355,0.3302,-0.2786,-0.104,0.7858,0.5422,0.2852,0.5625,0.6323,0.4499,33.1809836992,98.11593586,6.706166244
-0.0664,-0.1059,0.9353,0.3307,-0.2789,-0.103,0.7856,0.5425,0.2855,0.5624,0.632,0.4501,33.4591776858,98.0167864542,6.4174887288
-0.0668,-0.1055,0.9354,0.3307,-0.2786,-0.1022,0.7854,0.5432,0.2855,0.5618,0.6319,0.4509,33.3477198418,98.2388958416,6.150400541
-0.0628,-0.1058,0.9356,0.3307,-0.2755,-0.0961,0.7831,0.549,0.285,0.5621,0.6326,0.45,34.050637345,98.0638983312,6.3837979578
-0.0596,-0.1054,0.9359,0.3306,-0.2774,-0.0895,0.7835,0.5487,0.2837,0.5631,0.6325,0.4495,35.1933767152,98.0543746214,6.455055171
-0.0605,-0.1039,0.936,0.3306,-0.2792,-0.0788,0.7865,0.5451,0.279,0.5642,0.6363,0.4458,34.782356148,98.090461692,5.70109493
-0.0607,-0.1015,0.9366,0.3295,-0.2777,-0.0719,0.7899,0.5418,0.2758,0.5662,0.6439,0.4343,38.467927211,97.781769405,3.337740918
-0.0609,-0.0998,0.9372,0.3284,-0.2809,-0.06,0.7946,0.5348,0.2756,0.5679,0.6544,0.416,41.3916245578,97.4125106564,0.2910013558
-0.0609,-0.0997,0.9373,0.3282,-0.2858,-0.0564,0.7955,0.5313,0.2769,0.5656,0.6555,0.4166,40.4504472224,97.726346088,0.4079582912
