S10_w,S10_x,S10_y,S10_z,S8_w,S8_x,S8_y,S8_z,index_pose_position_x,index_pose_position_y,index_pose_position_z
-0.3026,0.1589,0.8683,0.3593,-0.2545,0.366,0.7615,0.4703,39.8543259682,72.0889928904,58.9019283852
-0.3026,0.1589,0.8683,0.3593,-0.2545,0.366,0.7615,0.4703,39.7447707638,72.4083150216,58.7618180084
-0.3034,0.1575,0.8687,0.3582,-0.2542,0.3641,0.7604,0.4738,39.910369366,72.353984738,58.791065876
-0.3044,0.1596,0.8675,0.3593,-0.2526,0.3681,0.7647,0.4645,39.9292663376,72.3602700704,58.9416913604
-0.3054,0.1627,0.8663,0.3601,-0.2482,0.3753,0.7739,0.4454,40.033404624,71.605780224,59.2515259224
-0.3054,0.1627,0.8663,0.3601,-0.2482,0.3753,0.7739,0.4454,39.7099963246,71.6187638676,59.5439814476
-0.3071,0.1648,0.8657,0.3591,-0.2422,0.375,0.7804,0.4376,39.77332882,72.19204262,58.96405423
-0.3071,0.1648,0.8657,0.3591,-0.2422,0.375,0.7804,0.4376,39.3087944676,72.3135751882,59.639433863
-0.3114,0.1655,0.866,0.3541,-0.2445,0.3608,0.8072,0.398,39.0586642934,71.8820705278,58.7541816094
-0.3146,0.1629,0.8681,0.3474,-0.2355,0.3647,0.7911,0.4306,39.0279308984,71.7362883572,58.6085939576
-0.3148,0.1647,0.8684,0.3457,-0.2257,0.3823,0.7693,0.4592,39.5097883448,70.5092394638,57.5238069672
-0.3149,0.167,0.8675,0.3467,-0.2208,0.3865,0.7642,0.4667,40.0893508014,68.9369018452,57.2939242972
-0.3149,0.167,0.8675,0.3467,-0.2208,0.3865,0.7642,0.4667,39.2195462636,69.317064648,57.2142155446
-0.3129,0.1702,0.8669,0.3485,-0.2072,0.3953,0.7538,0.4821,39.7676360376,68.652143205,57.1436840904
-0.3105,0.1707,0.8683,0.3469,-0.195,0.3986,0.7488,0.4921,39.1049678964,68.3521251532,57.10035474
-0.307,0.1721,0.8691,0.3474,-0.1844,0.4022,0.7446,0.4996,38.7485313632,68.2803052448,56.9125503064
-0.307,0.1721,0.8691,0.3474,-0.1844,0.4022,0.7446,0.4996,38.8544079728,68.1093094632,57.2052111688
-0.3061,0.1741,0.8688,0.3478,-0.1822,0.4025,0.743,0.5025,38.5701262604,67.9441209414,57.1163522006
-0.306,0.1744,0.8685,0.3485,-0.1998,0.4016,0.7505,0.4851,39.386675778,67.9453249144,57.0573309564
-0.3085,0.174,0.8687,0.3461,-0.2234,0.3928,0.7662,0.4567,39.4719593544,68.8908008564,57.249679194
-0.3064,0.1752,0.8676,0.3501,-0.2312,0.3969,0.7678,0.4465,39.948730316,68.112895948,58.0137736832
-0.3064,0.1752,0.8676,0.3501,-0.2312,0.3969,0.7678,0.4465,40.6573956748,68.2251737184,58.489856461
-0.3024,0.1801,0.8647,0.3581,-0.2291,0.4005,0.7687,0.4428,40.6192392168,68.1445876444,60.197529344
-0.3004,0.1791,0.8659,0.3575,-0.2341,0.3998,0.7877,0.4059,40.6654664872,70.1087647824,60.106272066
-0.2964,0.1795,0.8659,0.3606,-0.2412,0.395,0.7761,0.4281,40.9612821108,69.813492957,60.4334892386
-0.2964,0.1795,0.8659,0.3606,-0.2412,0.395,0.7761,0.4281,40.9410128314,70.749646681,59.7595465458
