S10_w,S10_x,S10_y,S10_z,S6_w,S6_x,S6_y,S6_z,middle_pose_position_x,middle_pose_position_y,middle_pose_position_z
-0.4046,0.2664,0.8075,0.3364,-0.1319,0.3744,0.6886,0.6067,-0.9637124954,69.2989443292,73.154695493
-0.4046,0.2664,0.8075,0.3364,-0.1319,0.3744,0.6886,0.6067,1.0161795974,68.3101484732,74.8613928274
-0.4012,0.2681,0.8021,0.3515,-0.1254,0.3798,0.6885,0.6048,0.7435793268,67.0178882744,76.3294245908
-0.3938,0.2675,0.8022,0.3601,-0.1215,0.3798,0.6931,0.6005,0.140331341,68.063598972,74.928361029
-0.3879,0.2664,0.8002,0.3715,-0.1193,0.3775,0.6947,0.6005,-0.6292336258,67.0867630096,76.105883923
-0.3879,0.2664,0.8002,0.3715,-0.1193,0.3775,0.6947,0.6005,-0.1048325468,67.341656506,76.0121696812
-0.3878,0.2657,0.799,0.3747,-0.112,0.3979,0.6598,0.6274,0.916153375,68.3081275954,74.6644215496
-0.3851,0.2675,0.7971,0.3803,-0.0801,0.4238,0.5895,0.6829,1.5780144856,68.871349652,74.1520546272
-0.3851,0.2675,0.7971,0.3803,-0.0801,0.4238,0.5895,0.6829,2.9061318036,69.3572728414,72.5033056676
-0.3828,0.2687,0.7937,0.3889,-0.0679,0.4335,0.5494,0.7109,2.683386044,70.2357978516,71.5678821862
-0.3789,0.2666,0.7943,0.3929,-0.0869,0.4287,0.5761,0.6904,3.2768844476,70.4042475424,70.2067165904
-0.3789,0.2666,0.7943,0.3929,-0.0869,0.4287,0.5761,0.6904,3.5173775004,70.92663671,68.0882191472
-0.3768,0.2655,0.7935,0.397,-0.092,0.4255,0.5863,0.6831,3.9495236736,71.352031456,67.4309611032
-0.3727,0.2627,0.7928,0.4042,-0.1043,0.4161,0.6102,0.6658,3.8202887924,71.354081514,66.2990692808
-0.3709,0.2579,0.7942,0.4062,-0.1167,0.4063,0.6241,0.657,4.42774893,71.4037057558,64.5150009034
-0.3718,0.2553,0.7944,0.4066,-0.1159,0.4082,0.6306,0.6496,4.908618724,71.6641070496,63.83088292
-0.3718,0.2553,0.7944,0.4066,-0.1159,0.4082,0.6306,0.6496,5.0685677226,71.4847286816,62.993006409
-0.3725,0.2525,0.7952,0.4061,-0.1165,0.408,0.6384,0.642,5.2410250472,71.7959275008,61.397261272
-0.3741,0.2513,0.7946,0.4066,-0.1162,0.4075,0.6423,0.6385,5.44448255,71.9220690844,60.9863587712
-0.3745,0.2511,0.7944,0.4067,-0.1154,0.4066,0.6433,0.6383,5.226510405,71.956764777,60.709624247
-0.3745,0.2511,0.7944,0.4067,-0.1154,0.4066,0.6433,0.6383,5.1663923508,71.9577553478,60.8826628052
-0.3751,0.2525,0.7939,0.4064,-0.1129,0.4085,0.644,0.6368,5.0721805536,71.9678632608,61.0429708024
-0.3791,0.2576,0.7922,0.4027,-0.107,0.4155,0.6222,0.6547,5.0646812804,72.2443789592,62.1958708616
-0.3791,0.2576,0.7922,0.4027,-0.107,0.4155,0.6222,0.6547,4.7010695002,72.44995798,64.3626309862
-0.3895,0.2634,0.7899,0.3933,-0.1074,0.4172,0.6054,0.6691,3.2972895266,71.7457651416,66.0384432212
-0.4035,0.2626,0.7918,0.3756,-0.1046,0.41,0.5783,0.6974,3.494942964,73.0392339456,66.5155774772
-0.4086,0.2612,0.7931,0.3683,-0.109,0.4044,0.5791,0.6994,1.443860981,73.402368235,67.644053822
-0.4086,0.2612,0.7931,0.3683,-0.109,0.4044,0.5791,0.6994,0.8234396648,72.3860735328,69.6189239352
-0.4202,0.2562,0.7943,0.3558,-0.1517,0.3637,0.6461,0.6535,-0.0455175122,73.6377914608,68.9306058818
-0.4321,0.246,0.798,0.3403,-0.167,0.3349,0.7354,0.5648,-2.837225476,74.5949980356,69.0439088272
-0.4377,0.2388,0.8015,0.33,-0.1714,0.336,0.7385,0.5587,-2.6663858088,73.6717401462,70.466614745
-0.4438,0.2326,0.8043,0.3192,-0.182,0.3302,0.7372,0.5606,-4.5905783444,75.1324754084,69.4745640748
-0.4438,0.2326,0.8043,0.3192,-0.182,0.3302,0.7372,0.5606,-5.0453791634,75.5387123896,69.2443489724
-0.4454,0.2312,0.8048,0.3167,-0.1838,0.3331,0.7244,0.5747,-4.7247938876,75.1154261866,69.3516175558
-0.45,0.2311,0.8052,0.3091,-0.1919,0.3347,0.7235,0.5723,-5.3383408568,75.8025188328,68.6216491944
-0.45,0.2311,0.8052,0.3091,-0.1919,0.3347,0.7235,0.5723,-5.245923239,76.7042803126,67.3531840112
-0.4526,0.2333,0.8067,0.2996,-0.1974,0.335,0.729,0.5632,-5.59921074,76.0814559712,67.7891677568
-0.4507,0.2368,0.809,0.2937,-0.1951,0.3352,0.7324,0.5595,-5.6540455672,76.8615017144,66.32937128
-0.4507,0.2368,0.809,0.2937,-0.1951,0.3352,0.7324,0.5595,-6.2420257376,76.6345367168,65.5416976852
-0.4491,0.2362,0.8114,0.2898,-0.1929,0.3355,0.7332,0.5591,-5.9743450956,76.1876247868,66.3111550288
-0.4479,0.233,0.8154,0.2827,-0.1957,0.3313,0.7366,0.556,-6.8602249408,77.309251348,64.7314222576
